CommonName,TaxonomicGroup,MaxStatus,State,RegionCentroidLatitude,RegionCentroidLongitude,ManagementCategory,TimeSeriesID,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_266610_139,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266611_139,,,,,,,,,3.0,0.0,29.0,30.0,43.0,1.0,0.0,0.0,,0.0,,,37.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266612_139,,,,,,,,,0.0,2.0,0.0,350.0,18.0,0.0,25.0,0.0,,0.0,,,,,,22.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,1.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266616_139,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266617_139,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266623_139,,,,,,,,,0.0,10.0,,360.0,0.0,5.0,25.0,0.0,,0.0,0.0,,,,,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266633_139,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,19.0,13.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266635_139,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,26.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266636_139,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266637_139,,,,,,,,,,,,,,,20.0,,,0.0,0.0,,,,,6.0,0.0,10.0,0.0,0.0,3.0,2.0,0.0,4.0,2.0,4.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266638_139,,,,,,,,,,,,,,,55.0,,,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266639_139,,,,,,,,,,,,,,,55.0,,,0.0,0.0,1.0,,6.0,,,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266640_139,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0,11.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266641_139,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266642_139,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266643_139,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266645_139,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,3.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266646_139,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,1.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266649_139,,,,,,,,,,,,,,,0.0,,,,,,,,12.0,,,,,,,,,0.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266650_139,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266651_139,,,,,,,,,,,,,,,27.0,,,,,,,,,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266653_139,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,52.0,49.0,2.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266654_139,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-20.66052834,117.0795967,Unknown,363_2_4_266656_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4.0,
Lesser Sand Plover,Birds,Endangered,Western Australia,-15.71409992,120.8315306,Unknown,363_2_4_266671_139,,,,,,,,,,,,,,,,,,,4.0,,10.0,,,,,,,,,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,363_2_4_266673_139,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,
Lesser Sand Plover,Birds,Endangered,Victoria,-37.84704817,143.2517563,Unknown,363_2_4_266675_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,
Lesser Sand Plover,Birds,Endangered,South Australia,-33.79845532,134.7934883,Unknown,363_2_4_266681_139,,,,,,,,,,,,,,,,,,,13.0,,,,,,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,,,0.0,,0.0,0.0
Lesser Sand Plover,Birds,Endangered,South Australia,-33.79845532,134.7934883,Unknown,363_2_4_266682_139,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,0.0
Lesser Sand Plover,Birds,Endangered,Tasmania,-40.43566564,147.8210816,Unknown,363_2_4_266683_139,0.0,0.0,,,,,0.0,1.0,0.0,0.0,,,,,,,,0.0,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266691_139,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,,,,,,,1.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Victoria,-38.38643205,146.2603928,Unknown,363_2_4_266694_139,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,363_2_4_266700_139,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,10.0,,,3.0,14.0,5.0,2.0,23.0,3.0
Lesser Sand Plover,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,363_2_4_266701_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,0.0,0.0,
Lesser Sand Plover,Birds,Endangered,New South Wales,-33.68682216,151.3158186,Unknown,363_2_4_266706_139,31.0,,,,,,21.0,22.0,,15.0,13.0,2.0,,,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lesser Sand Plover,Birds,Endangered,Western Australia,-20.66052834,117.0795967,Unknown,363_2_4_266707_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,20.0,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266723_139,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,
Lesser Sand Plover,Birds,Endangered,South Australia,-32.76422562,134.4945286,Unknown,363_2_4_266724_139,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_266725_139,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,0.0
Lesser Sand Plover,Birds,Endangered,Tasmania,-40.44800762,144.5314487,Unknown,363_2_4_266728_139,,,,0.0,11.0,4.0,0.0,,,,2.0,3.0,7.0,27.0,9.0,,3.0,6.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,,
Lesser Sand Plover,Birds,Endangered,Victoria,-37.84704817,143.2517563,Unknown,363_2_4_266737_139,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,0.0,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266743_139,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5.0,,,,,0.0,8.0,,,,
Lesser Sand Plover,Birds,Endangered,Victoria,-38.38643205,146.2603928,Unknown,363_2_4_266744_139,2.0,0.0,0.0,,3.0,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Queensland,-19.59936328,147.3551717,Unknown,363_2_4_266748_139,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,Victoria,-38.38643205,146.2603928,Unknown,363_2_4_266753_139,0.0,55.0,12.0,27.0,15.0,15.0,0.0,205.0,0.0,,0.0,0.0,0.0,0.0,40.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Victoria,-38.32100885,144.2402249,Unknown,363_2_4_266755_139,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,
Lesser Sand Plover,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,363_2_4_266767_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,0.0,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,363_2_4_266768_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Victoria,-38.38643205,146.2603928,Unknown,363_2_4_266772_139,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_266774_139,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266775_139,,,,,,,,,,0.0,,20.0,,,,,,,,,20.0,6.0,0.0,2.0,120.0,0.0,8.0,4.0,5.0,7.0,10.0,18.0,10.0,12.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266777_139,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,0.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266778_139,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,,,,,,0.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Tasmania,-42.65599782,147.7519754,Unknown,363_2_4_266779_139,,,,0.0,,,,,,,,0.0,,0.0,0.0,1.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266785_139,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Tasmania,-40.43566564,147.8210816,Unknown,363_2_4_266790_139,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_266795_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_266797_139,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_266799_139,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_266800_139,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,363_2_4_266806_139,23.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,Victoria,-37.84704817,143.2517563,Unknown,363_2_4_266811_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,56.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,
Lesser Sand Plover,Birds,Endangered,South Australia,-34.95748829,137.4743807,Unknown,363_2_4_266812_139,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lesser Sand Plover,Birds,Endangered,New South Wales,-33.2071383,151.5581067,Unknown,363_2_4_266813_139,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,South Australia,-33.91392283,137.9381525,Unknown,363_2_4_266817_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Lesser Sand Plover,Birds,Endangered,Victoria,-38.38643205,146.2603928,Unknown,363_2_4_266818_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,363_2_4_266820_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,0.0,
Lesser Sand Plover,Birds,Endangered,South Australia,-35.77465865,139.2177927,Unknown,363_2_4_266840_139,,,0.0,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266873_139,,,,,,,,,,,,,,18.0,0.0,,,,,,,,,,0.0,,0.0,2.0,2.0,8.0,3.0,0.0,0.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266876_139,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,0.0,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-20.66052834,117.0795967,Unknown,363_2_4_266888_139,0.0,,,,,,,,,,,,,,,,,,,2.0,5.0,110.0,0.0,,,,,,0.0,205.0,3.0,,413.0,4.0,1042.0,111.0,1564.0,
Lesser Sand Plover,Birds,Endangered,Northern Territory,-11.98931535,134.5789613,Unknown,363_2_4_266892_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,41.0,,,
Lesser Sand Plover,Birds,Endangered,New South Wales,-29.24588835,153.2593919,Unknown,363_2_4_266893_139,196.0,115.0,180.0,0.0,0.0,0.0,23.0,90.0,,0.0,5.0,,0.0,,35.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,363_2_4_266894_139,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,12.0,,,0.0,0.0,0.0,0.0,1.0,0.0
Lesser Sand Plover,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,363_2_4_266895_139,,,,,,,,25.0,,,,,,,,,,,,4.0,0.0,0.0,,,,0.0,,,,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_266896_139,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,1.0,,,,,,0.0
Lesser Sand Plover,Birds,Endangered,Victoria,-38.38643205,146.2603928,Unknown,363_2_4_266903_139,,,,,,0.0,0.0,20.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,363_2_4_266905_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,2.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Victoria,-38.38643205,146.2603928,Unknown,363_2_4_266909_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Victoria,-38.38643205,146.2603928,Unknown,363_2_4_266910_139,20.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,,,60.0,100.0,30.0,2.0,0.0,,,,,0.0,0.0,0.0,,,10.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,363_2_4_266915_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,26.0,,0.0,21.0,
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266917_139,,,,,,,,,,,,,,,1.0,,0.0,,,,,,,,2.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
Lesser Sand Plover,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,363_2_4_266922_139,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,10.0,6.0,10.0,22.0,2.0,5.0
Lesser Sand Plover,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,363_2_4_266923_139,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.0,9.0,4.0,15.0,10.0,10.0,,,0.0,3.0,4.0,3.0
Lesser Sand Plover,Birds,Endangered,Northern Territory,-12.72421308,131.1774919,Unknown,363_2_4_266924_139,110.0,120.0,0.0,,,,,,,,,,,,,,,,5.0,,,,3.0,,20.0,3.0,3.0,,,2.0,,,26.0,,14.0,1.0,8.0,4.0
Lesser Sand Plover,Birds,Endangered,Northern Territory,-12.6740252,136.4093172,Unknown,363_2_4_266928_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,,,,,,,
Lesser Sand Plover,Birds,Endangered,Victoria,-38.32100885,144.2402249,Unknown,363_2_4_266932_139,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Lesser Sand Plover,Birds,Endangered,Western Australia,-34.15050767,116.6498318,Unknown,363_2_4_266936_139,,,,,,,,,,,,,,,,,,0.0,,4.0,0.0,,0.0,0.0,0.0,6.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,South Australia,-32.76422562,134.4945286,Unknown,363_2_4_266953_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Western Australia,-18.31114598,122.3163212,Unknown,363_2_4_266956_139,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.0,,3.0,7.0,,,,,
Lesser Sand Plover,Birds,Endangered,New South Wales,-32.36602361,152.2972976,Unknown,363_2_4_266962_139,0.0,,,0.0,,,,,,,,,,,,,,2.0,,,2.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,3.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_266963_139,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.0,,,,676.0,682.0,,,,,,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-20.66052834,117.0795967,Unknown,363_2_4_266968_139,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,New South Wales,-29.24588835,153.2593919,Unknown,363_2_4_266973_139,,,,,,,,,,,11.0,22.0,22.0,15.0,13.0,8.0,4.0,6.0,3.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,New South Wales,-29.24588835,153.2593919,Unknown,363_2_4_266986_139,304.0,0.0,10.0,0.0,,,,,0.0,,,,42.0,,,57.0,12.0,41.0,9.0,,69.0,,,,0.0,,,,,,,,,,,,,
Lesser Sand Plover,Birds,Endangered,South Australia,-37.34930962,140.0267898,Unknown,363_2_4_266987_139,,,,,,,,,,,,,,,,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Victoria,-37.75060845,148.9293261,Unknown,363_2_4_266989_139,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,2.0,,,
Lesser Sand Plover,Birds,Endangered,Victoria,-38.32100885,144.2402249,Unknown,363_2_4_266990_139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,0.0,
Lesser Sand Plover,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,363_2_4_266991_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Tasmania,-40.43566564,147.8210816,Unknown,363_2_4_266995_139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-28.35742949,114.4413846,Unknown,363_2_4_267017_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Western Australia,-25.01534752,114.4114369,Unknown,363_2_4_267019_139,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,0.0,,1.0,,1.0,,,,,0.0,0.0
Lesser Sand Plover,Birds,Endangered,New South Wales,-31.23160852,152.7979609,Unknown,363_2_4_267026_139,,,,1.0,,,,,,,,,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesser Sand Plover,Birds,Endangered,Western Australia,-31.91534834,115.4916095,Unknown,363_2_4_267042_139,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Lesser Sand Plover,Birds,Endangered,New South Wales,-32.52013869,151.1890475,Unknown,363_2_4_267046_139,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
Lesser Sand Plover,Birds,Endangered,Western Australia,-22.40506269,114.4195664,Unknown,363_2_4_267051_139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0
